ft,km,transmission,oem,model,modelYear,price,Insurance Validity,Color,Displacement,Turbo Charger,Super Charger,Location,RTO_grouped
Petrol,110000.0,Manual,Hyundai,Hyundai i20,2012,300000.0,Third Party,Red,1197.0,False,False,Bangalore,Karnataka
Petrol,29813.0,Manual,Maruti,Maruti Alto 800,2014,276000.0,Comprehensive,Other,796.0,False,False,Bangalore,Karnataka
Petrol,30000.0,Manual,Ford,Ford Figo,2018,500000.0,Third Party,Gray,1196.0,False,False,Bangalore,Unknown
Petrol,13345.0,Automatic,Maruti,Maruti Ignis,2020,730000.0,Comprehensive,White,1197.0,False,False,Bangalore,Karnataka
Petrol,75000.0,Manual,Hyundai,Hyundai Grand i10,2014,399000.0,Comprehensive,Gray,1197.0,False,False,Bangalore,Karnataka
Petrol,75523.0,Manual,Hyundai,Hyundai i10,2011,312000.0,Comprehensive,Red,1197.0,False,False,Bangalore,Karnataka
Diesel,47000.0,Manual,Mahindra,Mahindra XUV500,2015,1275000.0,Comprehensive,Silver,2179.0,True,False,Bangalore,Karnataka
Petrol,28253.0,Manual,Renault,Renault Triber,2020,719000.0,Comprehensive,Silver,999.0,False,False,Bangalore,Karnataka
Diesel,50000.0,Manual,Hyundai,Hyundai Creta,2016,1260000.0,Third Party,White,1582.0,True,False,Bangalore,Karnataka
Petrol,90000.0,Manual,Hyundai,Hyundai i10,2010,300000.0,Third Party,Other,1197.0,False,False,Bangalore,Karnataka
Petrol,52571.0,Manual,Hyundai,Hyundai i20,2016,627000.0,Comprehensive,Gray,1197.0,False,False,Bangalore,Karnataka
Petrol,61993.0,Manual,Honda,Honda City,2015,672000.0,Comprehensive,Silver,1497.0,False,False,Bangalore,Karnataka
Petrol,36359.0,Manual,Hyundai,Hyundai i20,2013,440000.00000000006,Comprehensive,Blue,1197.0,False,False,Bangalore,Karnataka
Petrol,7500.0,Automatic,MG,MG Hector,2022,2041000.0,Comprehensive,White,1451.0,True,False,Bangalore,Karnataka
Petrol,30301.0,Automatic,Hyundai,Hyundai Verna,2017,1033000.0,Comprehensive,Black,1591.0,False,False,Bangalore,Karnataka
Petrol,66000.0,Manual,Hyundai,Hyundai i10,2010,275000.0,Comprehensive,Gold,1197.0,False,False,Bangalore,Karnataka
Petrol,56010.0,Manual,Hyundai,Hyundai i20,2017,676000.0,Comprehensive,White,1197.0,False,False,Bangalore,Karnataka
Diesel,83829.0,Manual,Maruti,Maruti Swift,2014,444000.00000000006,Third Party,Red,1248.0,True,False,Bangalore,Karnataka
Petrol,10000.0,Automatic,Renault,Renault KWID,2020,509999.99999999994,Third Party,Other,999.0,False,False,Bangalore,Karnataka
Diesel,35000.0,Automatic,Renault,Renault Duster,2016,925000.0,Comprehensive,Gray,1461.0,True,False,Bangalore,Karnataka
Petrol,51116.0,Automatic,Honda,Honda City,2019,1024000.0,Comprehensive,White,1497.0,False,False,Bangalore,Karnataka
Diesel,80000.0,Manual,Skoda,Skoda Rapid,2016,500000.0,Third Party,Other,1498.0,True,False,Bangalore,Karnataka
Petrol,40000.0,Automatic,Volkswagen,Volkswagen Polo,2017,994999.9999999999,Third Party,Other,1197.0,True,False,Bangalore,Unknown
Petrol,36916.0,Manual,Ford,Ford Ecosport,2018,834000.0,Comprehensive,Other,1497.0,False,False,Bangalore,Karnataka
Diesel,90000.0,Manual,Volkswagen,Volkswagen Polo,2015,560000.0,Third Party,Other,1498.0,True,False,Bangalore,Karnataka
Petrol,112795.0,Manual,Maruti,Maruti Swift,2012,454000.0,Comprehensive,Silver,1197.0,False,False,Bangalore,Karnataka
